,open_time,open,high,low,close,volume,close_time,quote_asset_vol,num_trades,taker_base_vol,taker_quote_vol,timestamp,MA_7,MA_14,MA_21,MA_30,MA_55,MA_100,MA_200,EMA_7,EMA_14,EMA_21,EMA_30,EMA_55,EMA_100,EMA_200,RSI,RSI_signal,RSI_bull_bear,Stoch_RSI_K,Stoch_RSI_D,MACD,MACD_SL,MA_Signal_7_14,MA_Signal_7_21,MA_Signal_7_30,MA_Signal_7_55,MA_Signal_7_100,MA_Signal_7_200,MA_Signal_14_21,MA_Signal_14_30,MA_Signal_14_55,MA_Signal_14_100,MA_Signal_14_200,MA_Signal_21_30,MA_Signal_21_55,MA_Signal_21_100,MA_Signal_21_200,MA_Signal_30_55,MA_Signal_30_100,MA_Signal_30_200,MA_Signal_55_100,MA_Signal_55_200,MA_Signal_100_200,MA_positions_7_14,MA_positions_7_21,MA_positions_7_30,MA_positions_7_55,MA_positions_7_100,MA_positions_7_200,MA_positions_14_21,MA_positions_14_30,MA_positions_14_55,MA_positions_14_100,MA_positions_14_200,MA_positions_21_30,MA_positions_21_55,MA_positions_21_100,MA_positions_21_200,MA_positions_30_55,MA_positions_30_100,MA_positions_30_200,MA_positions_55_100,MA_positions_55_200,MA_positions_100_200,EMA_Signal_7_14,EMA_Signal_7_21,EMA_Signal_7_30,EMA_Signal_7_55,EMA_Signal_7_100,EMA_Signal_7_200,EMA_Signal_14_21,EMA_Signal_14_30,EMA_Signal_14_55,EMA_Signal_14_100,EMA_Signal_14_200,EMA_Signal_21_30,EMA_Signal_21_55,EMA_Signal_21_100,EMA_Signal_21_200,EMA_Signal_30_55,EMA_Signal_30_100,EMA_Signal_30_200,EMA_Signal_55_100,EMA_Signal_55_200,EMA_Signal_100_200,EMA_positions_7_14,EMA_positions_7_21,EMA_positions_7_30,EMA_positions_7_55,EMA_positions_7_100,EMA_positions_7_200,EMA_positions_14_21,EMA_positions_14_30,EMA_positions_14_55,EMA_positions_14_100,EMA_positions_14_200,EMA_positions_21_30,EMA_positions_21_55,EMA_positions_21_100,EMA_positions_21_200,EMA_positions_30_55,EMA_positions_30_100,EMA_positions_30_200,EMA_positions_55_100,EMA_positions_55_200,EMA_positions_100_200,MACD_positions,MACD_crossover,Stoch_RSI_pos,Stoch_RSI_crossover,HA_open,HA_close,HA_is_green,HA_single_wick,HA_reversal,HA_engulfs,vol_scaled_Zscore,MA_7_slope,MA_14_slope,MA_21_slope,MA_30_slope,MA_55_slope,MA_100_slope,MA_200_slope,EMA_7_slope,EMA_14_slope,EMA_21_slope,EMA_30_slope,EMA_55_slope,EMA_100_slope,EMA_200_slope,MACD_slope,MACD_SL_slope,vol_scaled_Zscore_slope,MA_7_slope_change,MA_14_slope_change,MA_21_slope_change,MA_30_slope_change,MA_55_slope_change,MA_100_slope_change,MA_200_slope_change,EMA_7_slope_change,EMA_14_slope_change,EMA_21_slope_change,EMA_30_slope_change,EMA_55_slope_change,EMA_100_slope_change,EMA_200_slope_change,MACD_slope_change,MACD_SL_slope_change,vol_scaled_Zscore_slope_change
439,1540944000000,6330.01,6428.0,6245.02,6371.93,12148.889,1541030399999,76970488.28166042,111552,6037.752817,38272580.58381576,2018-11-01 00:59:59.999,6444.2217,6509.722,6505.3203,6534.904,6511.262,6724.307,7167.045,6427.4395,6478.3105,6502.294,6521.4824,6571.7544,6719.8413,7123.3003,33.26455082231608,0.0,-1.0,10.425037962290247,9.664899992913773,-45.781578,-20.903345,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6391.119,6352.449,0,0,0,1,0.026202232,-87,-87,-85,-82,-69,-85,-82,-86,-86,-85,-84,-82,-81,-82,-80,-80,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0
440,1541030400000,6369.52,6442.65,6348.66,6410.0,9099.036,1541116799999,58031686.8315247,89601,4560.735608,29086134.32882036,2018-11-02 00:59:59.999,6427.3516,6494.7964,6512.812,6531.044,6511.5254,6704.4346,7157.32,6423.0796,6469.2026,6493.9033,6514.29,6565.977,6713.706,7116.2026,40.40309321752455,0.0,-1.0,21.87278895519165,13.21090197131708,-47.00707,-26.124088,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6341.672,6380.263,1,1,1,0,0.024414476,-86,-86,82,-75,14,-87,-84,-77,-83,-83,-82,-80,-80,-81,-50,-79,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
441,1541116800000,6410.0,6460.34,6388.2,6433.98,9739.44,1541203199999,62589428.22024873,109482,4961.635216,31889801.28230129,2018-11-03 00:59:59.999,6412.4014,6488.018,6519.2866,6528.51,6516.0513,6687.018,7149.165,6425.8047,6464.5063,6488.4556,6509.109,6561.263,6708.1665,7109.4146,44.70218563897061,0.0,-1.0,35.84343200373245,22.713752973738128,-45.518585,-30.002989,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6369.5195,6409.032,1,1,0,0,0.023379924,-86,-81,81,-68,77,-86,-83,69,-77,-79,-79,-78,-79,-81,56,-75,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
442,1541203200000,6432.8,6439.97,6345.0,6387.09,7661.2417,1541289599999,48934237.93991929,83836,3635.868957,23226775.94830495,2018-11-04 00:59:59.999,6395.4717,6473.6387,6521.8657,6521.62,6518.5293,6671.689,7141.6753,6416.126,6454.184,6479.2407,6501.237,6555.0425,6701.8086,7102.227,38.44506854286609,0.0,-1.0,39.47112175250369,32.395780903809275,-47.574184,-33.517227,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6403.915,6396.8496,0,0,-1,0,0.022301866,-86,-86,68,-81,68,-86,-82,-84,-84,-83,-82,-80,-81,-82,-64,-74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
443,1541289600000,6388.0,6525.0,6359.0,6485.85,10592.395,1541375999999,68169573.18695,126200,5716.258624,36792110.49723886,2018-11-05 00:59:59.999,6394.8887,6466.1914,6528.8423,6516.6265,6521.69,6654.6616,7133.2397,6433.557,6458.4062,6479.842,6500.244,6552.5713,6697.532,7096.094,54.0692605534761,0.0,1.0,46.718289498505754,40.67761441824731,-40.764233,-34.96663,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6410.2515,6434.8003,1,0,1,0,0.022364609,-30,-82,81,-78,72,-86,-83,86,76,31,-44,-67,-76,-80,81,-55,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
444,1541376000000,6485.85,6504.39,6431.02,6468.99,8987.882,1541462399999,58127213.13931594,114235,4555.523431,29465680.23859559,2018-11-06 00:59:59.999,6412.673,6458.1763,6515.342,6512.4507,6524.855,6637.101,7124.195,6442.4155,6459.8174,6478.855,6498.2275,6549.5864,6693.007,7089.854,51.494621552638094,0.0,1.0,51.0737335118597,45.75438158762305,-36.309196,-35.23514,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6427.447,6455.797,1,1,0,0,0.022250121,86,-82,-85,-76,72,-86,-83,83,54,-44,-63,-71,-77,-80,77,-15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
445,1541462400000,6468.99,6531.31,6445.18,6519.11,11926.565,1541548799999,77336101.18719475,150475,5734.321131,37189108.73306704,2018-11-07 00:59:59.999,6439.5645,6455.719,6503.906,6509.2456,6528.1367,6620.182,7112.5054,6461.589,6467.723,6482.5146,6499.5747,6548.498,6689.5635,7084.1753,58.30473513555713,0.0,1.0,63.50015582736095,53.76405961257549,-28.406857,-33.869484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6448.628,6479.593,1,0,0,0,0.023292838,87,-67,-85,-72,73,-86,-85,87,82,74,53,-47,-73,-80,82,53,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1
446,1541548800000,6522.73,6615.15,6509.0,6578.46,14271.591,1541635199999,93820576.63463956,151060,7059.087973,46413326.05582056,2018-11-08 00:59:59.999,6469.0684,6456.645,6496.171,6506.0938,6529.7925,6604.2275,7100.821,6490.8066,6482.488,6491.237,6504.664,6549.568,6687.3633,7079.143,65.01588384401737,0.0,1.0,73.15341851692904,62.57576928538324,-17.15736,-30.52706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6485.3374,6539.663,1,1,0,0,0.025435649,88,42,-82,-72,58,-86,-85,88,86,83,78,46,-65,-78,84,73,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
447,1541635200000,6578.46,6594.0,6468.22,6479.84,13259.789,1541721599999,86450363.67835227,145405,6370.531258,41543352.29678714,2018-11-09 00:59:59.999,6479.046,6453.1987,6489.5464,6500.2017,6529.851,6591.717,7089.285,6488.065,6482.135,6490.2007,6503.0625,6547.0776,6683.254,7073.18,49.68337569257691,0.0,-1.0,74.9085651533444,70.52071316587813,-16.015257,-27.6247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6521.6074,6526.748,1,0,0,0,0.025293065,84,-73,-81,-80,3,-85,-85,-69,-19,-46,-58,-68,-76,-80,48,70,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
448,1541721600000,6479.84,6511.53,6391.01,6419.99,11787.616,1541807999999,75997777.50255908,117043,5993.771062,38655506.51281597,2018-11-10 00:59:59.999,6477.0474,6444.724,6484.361,6493.168,6528.1245,6579.871,7076.715,6471.0464,6473.849,6483.818,6497.703,6542.539,6678.0405,7066.6807,42.64175654131397,0.0,-1.0,66.93415969021291,71.66538112016212,-19.712265,-26.042213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,6536.879,6475.5845,0,0,-1,0,0.026024396,-63,-83,-79,-81,-59,-85,-85,-86,-83,-81,-79,-77,-79,-81,-74,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,1541808000000,6419.99,6475.55,6411.0,6433.05,7714.83,1541894399999,49745307.64123968,97746,3714.135468,23951565.83481469,2018-11-11 00:59:59.999,6483.613,6439.542,6476.9634,6499.18,6526.8164,6568.9443,7060.7803,6461.5474,6468.409,6479.2026,6493.5317,6538.6284,6673.1895,7060.376,44.61802241150662,0.0,-1.0,53.83874255852262,65.22715580069331,-21.342352,-25.102242,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6496.035,6456.241,0,0,0,0,0.024910215,81,-79,-82,80,-52,-84,-86,-83,-79,-77,-76,-75,-78,-80,-58,43,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
450,1541894400000,6435.16,6462.14,6355.0,6449.81,8213.507,1541980799999,52709099.31784609,98435,3799.700665,24388849.49935703,2018-11-12 00:59:59.999,6478.4644,6436.6763,6470.282,6504.24,6530.4727,6559.2544,7048.679,6458.613,6465.929,6476.531,6490.7114,6535.4565,6668.766,7054.3003,47.306498619226595,0.0,-1.0,51.13430585934168,57.30240270269241,-21.039267,-24.289646,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6446.147,6421.6636,0,0,0,0,0.0246877,-79,-70,-81,78,74,-84,-85,-71,-68,-69,-70,-72,-77,-80,16,39,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0
